Ocean View	Boost Race	12:11:45
Position	Name	Time	Character	Points
1°	Tyapp	1:33.72	Ralph	10
2°	Giant Woman	1:35.13	Ralph	9
3°	Aquivoy	1:35.52	Ralph	8
4°	Equinox	1:36.88	Ralph	7
5°	PieroPL	1:37.50	Ralph	6
6°	NIGHTS	1:37.70	Ralph	5
7°	Pink	1:38.22	Ralph	4





	RESULTS	RoA		BD		AL		GG		DV		CC		GC		SF		TT		GP		SeS		RL		OV		SS		CZ		DC		ST		SD		RR		EH		OB
1°	Tyapp	2	9	1	10	3	8	3	8	5	6	4	7	3	8	3	8	3	8	4	7	1	10	1	10	6	5	1	10	1	10			3	8	1	10	3	8	1	10	3
2°	PieroPL	1	10	2	9	6	5	2	9	1	10	2	9	1	10	2	9	5	6	1	10	4	7	4	7	4	7	2	9	3	8	2	9	6	5	4	7	5	6	5	6	1
3°	Giant Woman	3	8	7	4	1	10	1	10	2	9	1	10	4	7	7	4	6	5	3	8	3	8	2	9	1	10	3	8	2	9	3	8	2	9			6	5	3	8	2
4°	Aquivoy	5	6	5	6	4	7	6	5	8	3	3	8	2	9	4	7	1	10	5	6	2	9	5	6	2	9	8	3	5	6	1	10	1	10	3	8	2	9	4	7	4
5°	Nurse Michael	4	7	4	7	2	9	4	7	3	8	6	5	7	4	1	10	8	3	2	9	9	2	3	8	5	6	4	7	6	5	4	7	5	6	2	9	1	10	2	9	5
6°	SiVoice	6	5	6	5	5	6	7	4	4	7	7	4	6	5	5	6	2	9	9	2	7	4	8	3	9	2	6	5	7	4	7	4	4	7	7	4	4	7	7	4	7
7°	NIGHTS	7	4	3	8	8	3	5	6	7	4	5	6	5	6	6	5	7	4	7	4	6	5	7	4	3	8	7	4	8	3	5	6	7	4	5	6					
8°	Alerakdr1															8	3	4	7	6	5	5	6	6	5	7	4	5	6	4	7	6	5	8	3	6	5	7	4	6	5	6
9°	ESPIRITU	9	2	9	2	7	4	8	3	9	2	8	3	9	2	9	2	10	1	8	3	10	1	9	2	10	1	9	2	9	2	10	1	9	2	8	3					
10°	RayZ	8	3	8	3	9	2	9	2	6	5	10	1	8	3																											
11°	Saronali																	9	2	10	1	8	3			8	3	10	1	10	1	9	2									
12°	PeacanTan									10	1	8	3	10	1																											














